date,type,business_id
20170815,Required,a2j0f0000015MIEAA2
20190109,Required,a2j0f000001NdUYAA0
20170925,Required,a2j0f0000015MAIAA2
20181210,Required,a2j0f000001NBMbAAO
20190314,Required,a2j0f0000015LtjAAE
20181210,Required,a2j0f0000015NzmAAE
20190314,Required,a2j0f0000015MVvAAM
20190319,Follow-up,a2j0f0000015LM0AAM
20181210,Required,a2j0f0000015N5WAAU
20181210,Required,a2j0f0000015LCvAAM
20181106,Required,a2j0f0000015LtjAAE
20181106,Required,a2j0f0000015NcUAAU
20181109,Required,a2j0f0000015MXaAAM
20181109,Required,a2j0f0000015KmIAAU
20181109,Required,a2j0f0000015L6aAAE
20181109,Required,a2j0f0000015N4tAAE
20180416,Required,a2j0f0000015LvrAAE
20190801,Required,a2j0f0000015NjvAAE
20190618,Required,a2j0f0000015L59AAE
20190801,Required,a2j0f0000008M6eAAE
20171102,Required,a2j0f0000015LIeAAM
20171102,Required,a2j0f0000015MGQAA2
20171102,Required,a2j0f0000015LjzAAE
20170915,Required,a2j0f0000015NuFAAU
20191018,Required,a2j0f000001I6EPAA0
20191018,Required,a2j0f0000015M4tAAE
20191018,Required,a2j0f000000IBusAAG
20191025,Required,a2j0f0000015LInAAM
20191021,Required,a2j0f0000015NPpAAM
20190416,Required,a2j0f000001MgrrAAC
20190424,Follow-up,a2j0f0000015Ms8AAE
20190416,Required,a2j0f000000IAyAAAW
20190416,Required,a2j0f0000015LWWAA2
